,Date,Close
2434,2019-12-29,7307.89
2435,2019-12-30,7394.03
2436,2019-12-31,7240.43
2437,2020-01-01,7195.15
2438,2020-01-02,7193.75
2439,2020-01-03,6963.85
2440,2020-01-04,7300.35
2441,2020-01-05,7351.38
2442,2020-01-06,7349.97
2443,2020-01-07,7734.68
2444,2020-01-08,8147.42
2445,2020-01-09,8045.79
2446,2020-01-10,7832.8
2447,2020-01-11,8180.51
2448,2020-01-12,8012.09
2449,2020-01-13,8171.4
2450,2020-01-14,8110.65
2451,2020-01-15,8801.87
2452,2020-01-16,8820.85
2453,2020-01-17,8720.92
2454,2020-01-18,8902.57
2455,2020-01-19,8906.9
2456,2020-01-20,8690.38
2457,2020-01-21,8631.25
2458,2020-01-22,8724.82
2459,2020-01-23,8665.44
2460,2020-01-24,8415.96
2461,2020-01-25,8432.1
2462,2020-01-26,8348.67
2463,2020-01-27,8595.73
2464,2020-01-28,8879.34
2465,2020-01-29,9320.81
2466,2020-01-30,9276.89
2467,2020-01-31,9509.81
2468,2020-02-01,9308.06
2469,2020-02-02,9363.22
2470,2020-02-03,9338.42
2471,2020-02-04,9308.91
2472,2020-02-05,9179.96
2473,2020-02-06,9592.18
2474,2020-02-07,9744.64
2475,2020-02-08,9799.45
2476,2020-02-09,9890.7
2477,2020-02-10,10148.38
2478,2020-02-11,9890.12
2479,2020-02-12,10226.93
2480,2020-02-13,10328.9
2481,2020-02-14,10221.26
2482,2020-02-15,10320.16
2483,2020-02-16,9894.14
2484,2020-02-17,9943.67
2485,2020-02-18,9723.61
2486,2020-02-19,10133.82
2487,2020-02-20,9618.41
2488,2020-02-21,9608.17
2489,2020-02-22,9673.01
2490,2020-02-23,9658.61
2491,2020-02-24,9946.72
2492,2020-02-25,9670.96
2493,2020-02-26,9345.34
2494,2020-02-27,8801.66
2495,2020-02-28,8781.18
2496,2020-02-29,8717.33
2497,2020-03-01,8552.99
2498,2020-03-02,8567.8
2499,2020-03-03,8905.88
2500,2020-03-04,8756.72
2501,2020-03-05,8758.65
2502,2020-03-06,9038.87
2503,2020-03-07,9135.85
2504,2020-03-08,8902.2
2505,2020-03-09,8041.37
2506,2020-03-10,7921.33
2507,2020-03-11,7906.73
2508,2020-03-12,7935.52
2509,2020-03-13,5142.99
2510,2020-03-14,5542.82
2511,2020-03-15,5214.19
2512,2020-03-16,5397.93
2513,2020-03-17,5032.5
2514,2020-03-18,5389.42
2515,2020-03-19,5376.28
2516,2020-03-20,6170.2
2517,2020-03-21,6195.6
2518,2020-03-22,6145.77
2519,2020-03-23,5859.65
2520,2020-03-24,6456.35
2521,2020-03-25,6730.17
2522,2020-03-26,6695.9
2523,2020-03-27,6765.56
2524,2020-03-28,6397.83
2525,2020-03-29,6255.0
2526,2020-03-30,5915.34
2527,2020-03-31,6403.14
2528,2020-04-01,6421.71
2529,2020-04-02,6640.8
2530,2020-04-03,6807.9
2531,2020-04-04,6732.85
2532,2020-04-05,6859.42
2533,2020-04-06,6788.05
2534,2020-04-07,7297.64
2535,2020-04-08,7196.78
2536,2020-04-09,7342.29
2537,2020-04-10,7294.49
2538,2020-04-11,6864.69
2539,2020-04-12,6878.78
2540,2020-04-13,6913.16
2541,2020-04-14,6857.54
2542,2020-04-15,6860.18
2543,2020-04-16,6629.43
2544,2020-04-17,7059.93
2545,2020-04-18,7035.26
2546,2020-04-19,7242.51
2547,2020-04-20,7127.51
2548,2020-04-21,6856.46
2549,2020-04-22,6842.04
2550,2020-04-23,7110.0
2551,2020-04-24,7382.79
2552,2020-04-25,7495.39
2553,2020-04-26,7538.56
2554,2020-04-27,7683.87
2555,2020-04-28,7774.28
2556,2020-04-29,7758.23
2557,2020-04-30,8744.43
2558,2020-05-01,8610.64
2559,2020-05-02,8824.82
2560,2020-05-03,8966.31
2561,2020-05-04,8888.67
2562,2020-05-05,8884.41
2563,2020-05-06,9003.24
2564,2020-05-07,9144.69
2565,2020-05-08,9959.17
2566,2020-05-09,9821.81
2567,2020-05-10,9566.78
2568,2020-05-11,8752.62
2569,2020-05-12,8604.75
2570,2020-05-13,8788.47
2571,2020-05-14,9283.09
2572,2020-05-15,9796.49
2573,2020-05-16,9309.3
2574,2020-05-17,9375.3
2575,2020-05-18,9666.33
2576,2020-05-19,9708.44
2577,2020-05-20,9760.2
2578,2020-05-21,9526.51
2579,2020-05-22,9059.96
2580,2020-05-23,9131.77
2581,2020-05-24,9170.36
2582,2020-05-25,8731.85
2583,2020-05-26,8883.69
2584,2020-05-27,8839.13
2585,2020-05-28,9174.12
2586,2020-05-29,9546.05
2587,2020-05-30,9427.12
2588,2020-05-31,9662.71
2589,2020-06-01,9466.96
2590,2020-06-02,10167.93
2591,2020-06-03,9515.24
2592,2020-06-04,9645.23
2593,2020-06-05,9776.2
2594,2020-06-06,9636.97
2595,2020-06-07,9662.86
2596,2020-06-08,9738.6
2597,2020-06-09,9773.03
2598,2020-06-10,9767.01
2599,2020-06-11,9874.9
2600,2020-06-12,9326.0
2601,2020-06-13,9469.53
2602,2020-06-14,9469.47
2603,2020-06-15,9345.96
2604,2020-06-16,9431.72
2605,2020-06-17,9524.93
2606,2020-06-18,9463.36
2607,2020-06-19,9399.77
2608,2020-06-20,9312.78
2609,2020-06-21,9360.25
2610,2020-06-22,9298.36
2611,2020-06-23,9678.68
2612,2020-06-24,9624.68
2613,2020-06-25,9288.06
2614,2020-06-26,9258.67
2615,2020-06-27,9166.49
2616,2020-06-28,9013.91
2617,2020-06-29,9139.9
2618,2020-06-30,9185.17
2619,2020-07-01,9149.72
2620,2020-07-02,9230.67
2621,2020-07-03,9094.32
2622,2020-07-04,9071.39
2623,2020-07-05,9132.91
2624,2020-07-06,9087.41
2625,2020-07-07,9342.38
2626,2020-07-08,9253.63
2627,2020-07-09,9432.17
2628,2020-07-10,9235.72
2629,2020-07-11,9282.91
2630,2020-07-12,9234.31
2631,2020-07-13,9297.48
2632,2020-07-14,9240.76
2633,2020-07-15,9247.06
2634,2020-07-16,9203.37
2635,2020-07-17,9136.48
2636,2020-07-18,9156.28
2637,2020-07-19,9168.4
2638,2020-07-20,9202.62
2639,2020-07-21,9163.16
2640,2020-07-22,9384.38
2641,2020-07-23,9514.3
2642,2020-07-24,9589.82
2643,2020-07-25,9535.94
2644,2020-07-26,9691.83
2645,2020-07-27,9925.75
2646,2020-07-28,10962.26
2647,2020-07-29,10904.92
2648,2020-07-30,11093.61
2649,2020-07-31,11116.31
2650,2020-08-01,11325.55
2651,2020-08-02,11812.09
2652,2020-08-03,11066.31
2653,2020-08-04,11230.91
2654,2020-08-05,11181.92
2655,2020-08-06,11719.26
2656,2020-08-07,11768.13
2657,2020-08-08,11571.49
2658,2020-08-09,11739.13
2659,2020-08-10,11682.85
2660,2020-08-11,11862.94
2661,2020-08-12,11398.67
2662,2020-08-13,11579.87
2663,2020-08-14,11817.16
2664,2020-08-15,11777.39
2665,2020-08-16,11864.91
2666,2020-08-17,11901.78
2667,2020-08-18,12272.47
2668,2020-08-19,11949.61
2669,2020-08-20,11733.28
2670,2020-08-21,11861.84
2671,2020-08-22,11515.12
2672,2020-08-23,11676.39
2673,2020-08-24,11647.93
2674,2020-08-25,11758.83
2675,2020-08-26,11350.75
2676,2020-08-27,11465.0
2677,2020-08-28,11300.4
2678,2020-08-29,11519.12
2679,2020-08-30,11481.48
2680,2020-08-31,11701.0
2681,2020-09-01,11672.32
2682,2020-09-02,11895.23
2683,2020-09-03,11418.25
2684,2020-09-04,10197.46
2685,2020-09-05,10484.47
2686,2020-09-06,10177.79
2687,2020-09-07,10260.02
2688,2020-09-08,10359.45
2689,2020-09-09,10125.01
2690,2020-09-10,10230.15
2691,2020-09-11,10342.16
2692,2020-09-12,10378.22
2693,2020-09-13,10439.38
2694,2020-09-14,10328.87
2695,2020-09-15,10661.1
2696,2020-09-16,10787.58
2697,2020-09-17,10952.25
2698,2020-09-18,10938.0
2699,2020-09-19,10927.15
2700,2020-09-20,11084.0
2701,2020-09-21,10923.33
2702,2020-09-22,10439.52
2703,2020-09-23,10527.59
2704,2020-09-24,10223.78
2705,2020-09-25,10726.53
2706,2020-09-26,10681.99
2707,2020-09-27,10743.19
2708,2020-09-28,10765.3
2709,2020-09-29,10672.03
2710,2020-09-30,10837.52
2711,2020-10-01,10770.88
2712,2020-10-02,10627.98
2713,2020-10-03,10572.67
2714,2020-10-04,10546.66
2715,2020-10-05,10670.7
2716,2020-10-06,10784.95
2717,2020-10-07,10605.96
2718,2020-10-08,10668.01
2719,2020-10-09,10888.67
2720,2020-10-10,11063.25
2721,2020-10-11,11286.54
2722,2020-10-12,11377.81
2723,2020-10-13,11543.18
2724,2020-10-14,11426.11
2725,2020-10-15,11435.57
2726,2020-10-16,11495.58
2727,2020-10-17,11319.1
2728,2020-10-18,11365.81
2729,2020-10-19,11495.9
2730,2020-10-20,11752.15
2731,2020-10-21,11908.71
2732,2020-10-22,12806.44
2733,2020-10-23,12951.04
2734,2020-10-24,12928.07
2735,2020-10-25,13106.05
2736,2020-10-26,13021.41
2737,2020-10-27,13060.79
2738,2020-10-28,13655.19
2739,2020-10-29,13283.0
2740,2020-10-30,13441.88
